relative_time,AccX,AccY,AccZ
3.94,0.3496728515625,-1.6857943725585938,9.640552368164062
4.008,-0.2146536254882812,-2.1677920532226564,10.207273864746094
4.074,0.1829196166992187,-1.5958314514160157,9.464967498779297
4.14,-0.0453556823730468,-1.3693524169921876,9.22366928100586
4.208,-0.2103126525878906,-1.4395564270019532,9.862840118408204
4.274,-0.1356179809570312,-2.009571075439453,9.751771087646484
4.34,0.622705078125,-0.9098080444335938,9.067244567871096
4.408,-0.5138813781738282,-1.9636166381835936,9.659862213134764
4.474,0.089813232421875,-1.8143769836425785,10.039772186279295
4.54,0.5288502502441407,-2.035018157958985,9.752220153808594
4.608,0.0655636596679687,-1.057251434326172,9.488917694091798
4.674,-0.0330812072753906,-1.0963201904296875,9.445807342529298
4.74,0.6222560119628907,-1.2840298461914064,9.208850097656253
4.808,-0.1107696533203125,-1.5883470153808594,9.442813568115234
4.874,0.0513432312011718,-1.991458740234375,10.158625030517578
4.973,-0.3330574035644531,-2.0210971069335937,10.21281234741211
5.008,-0.5589376831054688,-2.17422866821289,10.055489501953126
5.074,0.5099894714355468,-1.5724800109863282,9.696236572265626
5.14,0.4549040222167969,-0.9562115478515626,9.09388916015625
5.208,0.3201841735839844,-1.9688557434082032,9.513017578125
5.274,0.5668711853027344,-1.1955638122558594,9.456584930419922
5.34,-0.2734812927246094,-1.6643888854980469,9.828561401367187
5.408,0.2891986083984375,-1.9595750427246097,9.841734008789064
5.474,0.0714015197753906,-1.897903289794922,9.498348083496094
5.54,0.9244775390625,-1.4781761169433594,9.378297729492187
5.607,0.037122802734375,-1.7766554260253906,9.684860229492188
5.674,0.5545967102050782,-1.7633331298828123,9.57004898071289
5.74,0.58198974609375,-1.776805114746094,9.70177505493164
5.807,0.2393522644042968,-1.6651373291015623,9.51346664428711
5.874,0.0567320251464843,-1.6365467834472658,9.810598754882813
5.94,-0.2148033142089843,-1.9871177673339844,10.031389617919922
6.008,-0.0640667724609375,-1.7681231689453123,9.139244842529298
6.074,0.5438191223144532,-1.637145538330078,9.30659683227539
6.14,0.3984713745117187,-1.756746826171875,9.28114974975586
6.207,-0.4680766296386719,-1.925446014404297,9.460027770996094
6.274,-0.5279521179199219,-1.758992156982422,9.167985076904298
6.34,-0.5325924682617188,-1.8949095153808595,9.289382629394533
6.408,-0.1636097717285156,-1.9428099060058597,9.053772583007811
6.474,-1.356628875732422,-2.980601806640625,9.701325988769533
6.541,-1.9335292053222657,-2.824027404785157,9.466913452148438
6.608,-1.6986676025390626,-2.49800537109375,9.221873016357424
6.674,-0.0091310119628906,-2.6601182556152345,9.406738586425782
6.741,-0.8625064086914063,-3.4949322509765626,9.406888275146486
